,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
261,nicolas massu,R,183.0,38.0,17.0,0.34611717394672736,0.18346408334222808,0.30949428753221325,0.6234913497552,0.7375429498183678,0.5639552698835087,84.76315789473684,0.6060356536524543,65.0,565.0,197.2,0.655,0.365,0.364,0.588
262,juan ignacio chela,R,190.0,54.0,28.0,0.39778086077783414,0.2832440677211918,0.4162363113386506,0.5128597996653552,0.725329551228244,0.6256054417358536,69.53703703703704,0.613425817963432,39.0,815.0,197.3,0.5770000000000001,0.40700000000000003,0.467,0.522
264,agustin calleri,R,183.0,42.0,21.0,0.37729602178050364,0.22247226886430393,0.37877224627224626,0.5133874458874459,0.7575105936770168,0.5636384535320131,80.73809523809524,0.6242147223585657,51.0,692.0,205.9,0.545,0.426,0.5,0.588
265,david sanchez,R,183.0,21.0,7.0,0.3622011419759174,0.21865080686509264,0.46318583254673473,0.47801338872767446,0.5863415610154741,0.6107075163967358,55.714285714285715,0.5424520390616901,137.0,302.0,,,,,
266,daniel elsner,R,183.0,1.0,0.0,0.40350877192982454,0.2222222222222222,0.6666666666666666,0.6153846153846154,0.4444444444444444,0.5921052631578947,61.0,0.4868421052631579,274.0,125.0,,,,,
268,alexander popp,R,201.0,9.0,1.0,0.29527858602930984,0.0878787878787879,0.31590413943355117,0.5186067019400353,0.6580866664199997,0.6019959403034105,41.111111111111114,0.5865762303386117,235.0,152.0,,,,,
269,olivier rochus,R,168.0,60.0,35.0,0.3686599341563502,0.24154961315985682,0.36595753343414533,0.623019880446351,0.780716721032292,0.6145266855154783,53.31666666666667,0.6322226675136515,27.0,1110.0,232.9,0.633,0.391,0.867,0.43799999999999994
271,vladimir voltchkov,R,180.0,2.0,0.0,0.26646772767462423,0.03125,0.05,0.35,0.65625,0.5461664329125759,35.5,0.5888265544647031,223.0,161.0,,,,,
272,tomas behrend,R,193.0,20.0,7.0,0.33214745335661783,0.17580616751669384,0.3194459706959707,0.5527003552003552,0.657327263379895,0.6085502492102675,64.3,0.576561509015969,89.0,462.0,,,,,
273,tomas zib,R,178.0,42.0,16.0,0.3446600568105471,0.19162223941635703,0.3876679459662653,0.5348177616034759,0.7270284279212852,0.574773161440884,69.21428571428571,0.6073235434185725,59.0,611.0,198.3,0.5660000000000001,0.442,0.6,0.375
274,michal tabara,R,175.0,13.0,4.0,0.39655081256189373,0.23630079071255544,0.38922466422466423,0.46279340317801854,0.6100659835388342,0.439124051106654,65.61538461538461,0.5497582830802787,172.0,224.0,,,,,
