,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang
14,kenneth carlsen,L,190.0,28.0,11.0,0.3224682108197304,0.13844798991857812,0.3637935477221192,0.5717688065902352,0.7829669635919637,0.5595212141349113,103.75,0.6407510968644256,204.3,65.0%,41.3%,66.7%,31.3%,92.0
15,todd martin,R,198.0,61.0,43.0,0.38885820713873875,0.246641273215272,0.3866552792541221,0.629793540328738,0.8434932438684736,0.6076995565457218,76.45901639344262,0.6691955003874032,232.5,65.3%,38.3%,64.0%,64.9%,13.0
16,bryan shelton,R,185.0,30.0,13.0,0.3598403297667428,0.16639085634521739,0.32906826833297426,0.5497083934583934,0.7721183985610963,0.5683568885394407,93.73333333333333,0.6303869540172264,222.4,59.3%,31.7%,71.4%,60.0%,97.0
17,cedric pioline,R,188.0,52.0,26.0,0.38820392965448075,0.2558165123820637,0.38313335056756104,0.5190215500311652,0.7612202427709094,0.6006445315706034,63.48076923076923,0.620416055129032,202.0,59.7%,40.0%,44.4%,57.9%,10.0
18,sandon stolle,R,193.0,8.0,3.0,0.3594128388403889,0.20077075702075703,0.30104166666666665,0.5985863095238096,0.7020451770451771,0.604477195527582,54.875,0.5981002662276361,,,,,,71.0
19,richard fromberg,R,196.0,52.0,25.0,0.35123772961536104,0.19078591254582294,0.3643010034836959,0.5666998662473777,0.7908644864109158,0.5843526513501993,79.5,0.6331999347788917,201.1,62.5%,38.6%,50.0%,50.0%,40.0
20,magnus gustafsson,R,185.0,34.0,24.0,0.4609137627008071,0.39806037631565383,0.47281264057579847,0.564239722695605,0.7546250951288741,0.6412601825153923,82.1470588235294,0.6231595278532922,230.9,57.5%,43.7%,58.3%,71.4%,14.0
21,marcos ondruska,R,183.0,25.0,11.0,0.40634353429233755,0.2996412944827267,0.5268297258297259,0.5194638460954252,0.6859618207879078,0.5511471491055853,59.68,0.5762988808417532,193.9,55.6%,50.8%,37.5%,50.0%,47.0
22,sergi bruguera,R,188.0,78.0,56.0,0.4450502788947408,0.3956692670804855,0.5018645329448497,0.58331465543004,0.801444740858887,0.5966594166901862,63.42307692307692,0.6425541308126395,220.5,62.5%,48.7%,52.2%,57.1%,4.0
23,stefan edberg,R,188.0,72.0,52.0,0.4132760659041048,0.33953944872093333,0.4788442816500091,0.5327673869340538,0.8309774531915759,0.6195714319596723,81.95833333333333,0.6568291176066439,221.0,63.8%,47.1%,57.9%,52.2%,5.0
