,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,atp_points
75,thomas muster,L,180.0,59.0,38.0,0.3845907524826877,0.26348532933777197,0.48609754553108697,0.6357895870607737,0.8129485036736108,0.5728843897859889,60.67796610169491,0.6428922173785016,9.0,2353.0
78,jim courier,R,185.0,47.0,28.0,0.377222649332289,0.24788473695803503,0.4392712291648462,0.5063043044426023,0.7996713167238823,0.6079728413172485,71.63829787234043,0.6412141229827307,21.0,1528.0
79,petr korda,L,190.0,69.0,47.0,0.3896082055623157,0.2570321877859904,0.3962526201656635,0.6165981964895009,0.8279376662719546,0.5494001625217,81.30434782608695,0.6524350268113288,13.0,2261.0
81,michael stich,R,193.0,29.0,17.0,0.37716751035604595,0.22992759082488984,0.394343260976121,0.6068048910154172,0.7649183839599661,0.5233870522110666,59.41379310344828,0.632936413246394,64.0,711.0
85,david prinosil,R,185.0,40.0,14.0,0.34794517573436495,0.1907703425960005,0.38118464868464874,0.5418378149628149,0.712615035914378,0.5135844445727725,77.75,0.6007047398709703,89.0,533.0
88,stephane simian,L,193.0,13.0,4.0,0.3745555883602022,0.18555720570770737,0.37198506621583544,0.4582652390344698,0.7233161487342089,0.6167472034869834,83.3076923076923,0.6039044142361691,182.0,247.0
92,stefano pescosolido,R,185.0,1.0,0.0,0.3389830508474576,0.19999999999999996,0.6666666666666666,0.7142857142857143,0.6,0.5507246376811594,8.0,0.5217391304347826,228.0,186.0
93,andre agassi,R,180.0,22.0,10.0,0.3996768532100416,0.2753932935751118,0.3231740481740482,0.5655054170428501,0.7571801511729038,0.5805196001235944,84.9090909090909,0.6172085068140368,110.0,442.0
94,jaime oncins,R,196.0,3.0,0.0,0.34885057471264364,0.21111111111111114,0.6944444444444443,0.3967948717948718,0.46296296296296297,0.5565650196797738,20.0,0.4910772287821468,166.0,276.0
96,renzo furlan,R,175.0,41.0,18.0,0.3668530806120625,0.20238370394962554,0.3774790338682173,0.5991907429327198,0.7651183357112906,0.5353519379475283,100.0,0.627209153927205,100.0,486.0
98,francisco clavet,L,183.0,65.0,41.0,0.424028457958382,0.33067662827696265,0.48479846611953625,0.48508688567393027,0.7355791455904578,0.6372784708266145,80.07692307692308,0.607520863398896,33.0,1198.0
100,alex corretja,R,180.0,71.0,49.0,0.4345970668484121,0.35887907050104007,0.5064294880640322,0.6014925059291258,0.800267049759593,0.5718322448894881,67.61971830985915,0.6415126488736409,12.0,2275.0
103,alex obrien,R,185.0,45.0,19.0,0.36676291253097787,0.22125214545802774,0.5235614385614384,0.6130830280830281,0.7913137820784879,0.6432512912052011,102.22222222222223,0.6325577562040509,98.0,489.0
105,marc kevin goellner,R,196.0,53.0,21.0,0.3417217721367649,0.18801001450933383,0.3493757290927102,0.5117561683599418,0.7941948828059671,0.5024860126182324,77.83018867924528,0.6450699924530101,51.0,812.0
109,alberto berasategui,R,173.0,64.0,38.0,0.42457259851933227,0.3331695398386901,0.4233799227196091,0.5131012216949717,0.7210086788211788,0.7379987451824439,70.703125,0.6073429474730548,23.0,1425.0
110,lars jonsson,R,188.0,4.0,0.0,0.3171785262529364,0.1435897435897436,0.24285714285714285,0.41622807017543856,0.5193223443223444,0.5832927446278221,58.75,0.5214499661293561,276.0,138.0
111,javier frana,L,185.0,12.0,4.0,0.35198352175743786,0.18056634269869565,0.31746031746031744,0.6340187590187589,0.7602047258297259,0.594667879367602,55.083333333333336,0.6285991356286752,172.0,260.0
116,jason stoltenberg,R,185.0,36.0,21.0,0.4055891213292677,0.2933048954495032,0.500712266940337,0.5311222727889394,0.7828915395511112,0.5854919604459548,105.61111111111111,0.6356095162299034,79.0,617.0
117,jordi burillo,R,188.0,9.0,2.0,0.3586794985935464,0.22574277574277574,0.3367003367003367,0.4660762211486849,0.6640362723696058,0.49191807657518294,53.0,0.5730418879374042,90.0,532.0
119,grant stafford,R,188.0,40.0,21.0,0.40890359928729864,0.2993497474747476,0.5042173451548452,0.5329615809027572,0.7552402458652459,0.546851484551254,80.9,0.6250013748387121,74.0,649.0
120,younes el aynaoui,R,193.0,2.0,1.0,0.40384615384615385,0.2777777777777778,0.38888888888888884,0.5,0.7444444444444445,0.5886243386243386,42.5,0.6481481481481481,237.0,179.0
121,slava dosedel,R,183.0,41.0,24.0,0.415049272901953,0.3001579203516076,0.44647188854505915,0.4955518059176595,0.7307764338150778,0.6635344000185106,70.46341463414635,0.6092920286889001,43.0,899.0
122,byron black,R,175.0,47.0,24.0,0.4081037877754816,0.293684982796372,0.409500362660563,0.5302162411361409,0.749811490831516,0.5755797597672065,76.55319148936171,0.6159115522998672,76.0,633.0
123,andrea gaudenzi,R,183.0,31.0,12.0,0.39660178260920276,0.29234188750317774,0.4502343534601599,0.4691021768271343,0.6662769907888755,0.6162642472217448,60.096774193548384,0.5834183521384264,57.0,739.0
124,patrick rafter,R,185.0,82.0,58.0,0.38306341165210206,0.25250247950259264,0.4080367763115252,0.5650333545778311,0.853112399778563,0.6058809389415112,64.8170731707317,0.670794349364144,2.0,3210.0
125,daniel vacek,R,190.0,42.0,18.0,0.349068996601062,0.19563713402999117,0.3319077608551293,0.5759025366168222,0.736458794964434,0.5224246171347688,76.04761904761905,0.6140261694714781,53.0,782.0
127,greg rusedski,L,193.0,69.0,49.0,0.3505557906435463,0.18048372340827395,0.4272691881387533,0.5200566389185316,0.9216826485039039,0.5686617361290907,63.028985507246375,0.7270020904204034,6.0,2617.0
128,fernando meligeni,L,180.0,43.0,24.0,0.393614319626274,0.26669617602100143,0.4306610107558699,0.5267439279067185,0.7384628863029036,0.5640716976352057,90.97674418604652,0.6058985946397349,67.0,691.0
129,jonas bjorkman,R,183.0,85.0,62.0,0.42579355562008214,0.33922693698562123,0.4531826833297422,0.56943893092682,0.8008822464459153,0.5436440752623105,89.31764705882352,0.6378822202448166,4.0,2949.0
130,david rikl,L,178.0,5.0,2.0,0.3711742695212644,0.23164141414141412,0.5133333333333333,0.7290764790764791,0.7185042735042735,0.5392158285193013,40.6,0.5798709412210644,173.0,260.0
131,yevgeny kafelnikov,R,190.0,76.0,52.0,0.4055480470923844,0.29649639005238254,0.4384576094496454,0.5434675461613812,0.7876941370711738,0.5530596036023601,70.9342105263158,0.6299179731015422,5.0,2690.0
133,maurice ruah,R,178.0,1.0,0.0,0.36,0.15384615384615385,1.0,0.7333333333333333,0.6666666666666666,0.5384615384615384,74.0,0.5604395604395604,251.0,161.0
134,jean philippe fleurian,R,185.0,4.0,2.0,0.3854276502468037,0.2478583916083916,0.6574675324675325,0.7208333333333334,0.7702020202020202,0.6381128956207397,61.25,0.6012518409425626,247.0,164.0
135,steve bryan,R,178.0,4.0,0.0,0.332950140944327,0.1277777777777778,0.375,0.5668290043290043,0.6392758857929136,0.5119732863867733,21.5,0.5322314286807761,364.0,90.0
136,hendrik dreekmann,R,188.0,33.0,15.0,0.35191175548998,0.23544883518145554,0.3779056801784073,0.5897541431632342,0.7535477124380867,0.4884896698958382,93.75757575757575,0.6015168832624944,91.0,525.0
139,karim alami,R,185.0,49.0,23.0,0.38827241870562496,0.2519548524318853,0.3978771811755006,0.5648091137887058,0.7269263013055266,0.5624328081898127,85.22448979591837,0.6100888895289007,55.0,748.0
140,albert costa,R,180.0,61.0,41.0,0.41382241715002605,0.30132656784841183,0.4604150764589529,0.5780182249444545,0.8304180912305307,0.6889035185013949,49.60655737704918,0.6588165356584117,19.0,1778.0
142,jan apell,L,183.0,3.0,1.0,0.3954342560899938,0.2763532763532764,0.4305555555555556,0.7060185185185185,0.6723646723646723,0.582680212868892,39.333333333333336,0.5820029027576198,245.0,167.0
143,mark petchey,R,183.0,3.0,2.0,0.4579109062980031,0.3838383838383838,0.3726851851851852,0.6077441077441077,0.7667443667443669,0.5893974065598778,60.0,0.6075896262395118,159.0,286.0
144,karol kucera,R,188.0,54.0,29.0,0.4070798143659131,0.29737980791902374,0.466017805723688,0.47192858581747466,0.7092705283717234,0.5539409067258924,81.38888888888889,0.5964038980114291,24.0,1423.0
146,oliver gross,R,185.0,13.0,6.0,0.4366512923766853,0.3729462402063021,0.4692225509533202,0.42542735042735047,0.6696275946275946,0.5847266185435132,81.46153846153847,0.5818012274920386,86.0,542.0
147,lionel roux,R,185.0,41.0,17.0,0.3676902348200536,0.23377253111357918,0.4065751885873838,0.5154655464347377,0.6979615318832265,0.5810383894300087,96.51219512195122,0.5921052116479251,60.0,721.0
148,vincent spadea,R,183.0,35.0,13.0,0.37624826647407567,0.23452535559678417,0.4551222586936872,0.5337883941455371,0.7396486846486846,0.54279211962448,73.25714285714285,0.6079136362674172,88.0,536.0
151,christian ruud,R,188.0,43.0,21.0,0.386081288458267,0.2522174689344439,0.41581138499743153,0.5022964761336854,0.6881867594800806,0.5703336793582534,66.86046511627907,0.5850403950380682,65.0,708.0
152,cristiano caratti,R,178.0,3.0,0.0,0.3424834390415786,0.14074074074074072,0.43333333333333335,0.4576719576719577,0.49100529100529106,0.5434087632420234,34.666666666666664,0.5186357610666518,138.0,328.0
153,radomir vasek,R,188.0,7.0,3.0,0.3983760802721294,0.32819264069264076,0.5256802721088435,0.43874458874458877,0.6173160173160175,0.5714495881800737,75.57142857142857,0.5590276179392272,108.0,443.0
154,marcelo rios,L,175.0,76.0,52.0,0.3998760866039981,0.2864145051889027,0.4212947806407559,0.5780948025143071,0.8081556069082548,0.5460544766958272,76.72368421052632,0.6419773912021572,10.0,2317.0
156,sebastien lareau,R,183.0,17.0,5.0,0.3852293741830447,0.27291752365281774,0.42739841857488914,0.5378533231474408,0.6332835465188406,0.617700034827869,49.411764705882355,0.5597287695523042,187.0,243.0
157,martin sinner,R,180.0,16.0,5.0,0.33010055324348964,0.1345991324851619,0.3710164835164835,0.5096783424908425,0.7736590768300325,0.5925819756785207,40.8125,0.6270160433874389,123.0,373.0
158,michael tebbutt,L,190.0,12.0,3.0,0.3250084159929985,0.16616161616161615,0.4277472527472528,0.58859126984127,0.79614898989899,0.4786875613069769,33.75,0.6360096328782957,146.0,313.0
159,bohdan ulihrach,R,188.0,52.0,24.0,0.38433217993340807,0.2759155334887652,0.4416615969500585,0.5384056508870454,0.7472725212127449,0.5539584151851091,65.11538461538461,0.6138170117870947,34.0,1143.0
161,tommy ho,L,183.0,3.0,1.0,0.3640746260418392,0.21176470588235297,0.5333333333333333,0.6888888888888888,0.7908496732026143,0.5728217287529441,55.666666666666664,0.6321912119055809,250.0,163.0
