,name,hand,height,rang,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
386,danai udomchoke,R,173.0,,11.0,2.0,0.3326942758423939,0.14226985136076042,0.24866310160427807,0.5376918536009445,0.6987035691581146,0.6620914249305806,41.90909090909091,0.5946287858718774,,,,,
387,igor kunitsyn,R,180.0,,23.0,10.0,0.3640114400861915,0.21760148064495888,0.40797405918889296,0.5974451876625789,0.7311641257293431,0.5742694609287645,72.65217391304348,0.6067280361940418,,,,,
388,marc gicquel,R,188.0,,27.0,15.0,0.3586365014261733,0.19880184972777568,0.35641755363977584,0.64328720662054,0.7936554956731144,0.5472384814752411,92.07407407407408,0.6406258051239733,,,,,
389,teymuraz gabashvili,R,188.0,,15.0,4.0,0.339903830692229,0.16198292448292448,0.2991334396597554,0.48097883597883595,0.7231180856180855,0.5570925943816768,88.6,0.6131181363855703,,,,,
390,jan hajek,R,180.0,,6.0,2.0,0.4176704141765251,0.31195887445887444,0.4130952380952381,0.4912698412698413,0.5676587301587303,0.5242096787863378,117.0,0.5359924569878802,,,,,
391,alejandro falla,L,185.0,,10.0,2.0,0.34135930939822795,0.17689398836457662,0.276969696969697,0.47659090909090907,0.6444102466161291,0.6153502101615896,63.8,0.5641411573132756,,,,,
392,evgeny korolev,R,185.0,,14.0,7.0,0.3697144102396203,0.22213466110068228,0.3900093953665382,0.6629099075527647,0.7987889652668609,0.6010918495091275,55.642857142857146,0.6320188207494974,,,,,
393,bobby reynolds,R,183.0,,6.0,0.0,0.30625097878004853,0.09442693744164332,0.24259259259259258,0.5450536062378167,0.5991891493439481,0.5497080990696036,65.16666666666667,0.5407190553343432,,,,,
394,denis gremelmayr,L,183.0,,14.0,6.0,0.37155859859258145,0.22055722055722055,0.33608534322820033,0.4307745825602969,0.6720953649525079,0.5458477622076984,40.785714285714285,0.5793161100172358,,,,,
395,amer delic,R,196.0,,1.0,0.0,0.3,0.09999999999999998,0.5,0.4,0.6666666666666666,0.5294117647058824,53.0,0.5490196078431373,,,,,
396,mischa zverev,L,190.0,,5.0,3.0,0.3337005788962967,0.17460317460317462,0.5966666666666667,0.6322222222222222,0.8365689865689866,0.7199528667194071,59.2,0.6693265048368515,,,,,
397,sam querrey,R,198.0,,12.0,3.0,0.330664007261208,0.13851279439514733,0.271957671957672,0.6220899470899471,0.7921351252233605,0.5580830530395927,44.666666666666664,0.6302878998098536,,,,,
398,robert kendrick,R,190.0,,7.0,2.0,0.34577827974775016,0.13383408919123205,0.2895691609977324,0.7418695683401565,0.6714919301053754,0.6018300250405532,48.42857142857143,0.578410536762381,,,,,
399,martin vassallo arguello,R,183.0,,9.0,3.0,0.35869241990609235,0.24372294372294373,0.30194386933517364,0.424647266313933,0.6214937504792577,0.7532076136212456,42.888888888888886,0.5610203095803674,,,,,
400,diego hartfield,R,185.0,,3.0,2.0,0.36328729198639825,0.18055555555555555,0.3968253968253968,0.42857142857142855,0.7712962962962964,0.7029872002782218,39.333333333333336,0.6292872074605821,,,,,
401,sergio roitman,R,185.0,,7.0,1.0,0.3765458984408741,0.19705849705849707,0.3875950380152061,0.4643323996265173,0.6561418739990168,0.6799284294729848,41.714285714285715,0.5827257449650537,,,,,
402,alexander peya,R,183.0,,2.0,0.0,0.33796296296296297,0.13636363636363635,0.1875,0.512987012987013,0.5333333333333333,0.539529015979815,17.5,0.5157695542472667,,,,,
403,ernests gulbis,R,190.0,,3.0,2.0,0.34990265982040736,0.125,0.23611111111111108,0.7321428571428571,0.7875,0.6599005220536852,59.333333333333336,0.6229004809470958,,,,,
404,chris guccione,L,201.0,,4.0,1.0,0.26243122248899564,0.11748366013071895,0.41666666666666663,0.5798076923076922,0.7924632352941177,0.5927672902404196,43.0,0.6350726922244078,,,,,
405,ivan navarro,R,183.0,,7.0,1.0,0.31429948567977467,0.12811791383219956,0.37777777777777777,0.5442176870748299,0.7273060273060272,0.5357435390401442,40.857142857142854,0.5958124613360946,,,,,
406,michael berrer,L,193.0,,10.0,1.0,0.3199349095450354,0.16976244343891403,0.3620779220779221,0.46106837606837603,0.7015173453996983,0.6093005855252235,55.2,0.6110705704831877,,,,,
407,simone bolelli,R,183.0,,3.0,0.0,0.37085406301824214,0.1574074074074074,0.2916666666666667,0.5888888888888889,0.690883190883191,0.6422655269004154,24.333333333333332,0.5868414415574659,,,,,
408,peter luczak,R,183.0,,10.0,3.0,0.3301531519314415,0.17230786122090472,0.4025,0.5596969696969697,0.739815143920407,0.6322319876015828,44.8,0.6045971271868582,,,,,
412,juan pablo guzman,L,178.0,,2.0,1.0,0.3354022988505747,0.16269841269841273,0.6363636363636364,0.5714285714285714,0.6833333333333333,0.5873737373737373,61.0,0.5601010101010101,,,,,
413,robin haase,R,190.0,,2.0,0.0,0.3713883016208598,0.2435897435897436,0.35119047619047616,0.6125,0.6428571428571428,0.5324743347999161,28.0,0.5725958516656191,,,,,
