,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won,rang,atp_points
172,carlos moya,R,190.0,71.0,46.0,0.41017736081014455,0.30151645503395585,0.4162853394419258,0.5944516103938154,0.7648981756625147,0.549859337923091,58.901408450704224,0.6232218277751556,229.7,0.598,0.401,0.619,0.679,5.0,3159.0
174,johan van herck,R,185.0,28.0,9.0,0.35723026118342405,0.1923103398144502,0.3967416512059369,0.5088931405895691,0.7184244443698224,0.5396011108681504,72.07142857142857,0.5968671611440743,,,,,,116.0,413.0
175,jan kroslak,R,188.0,18.0,7.0,0.3467146001265464,0.21720625053958387,0.39176332926332924,0.3978825957992625,0.7531832365165699,0.5866268224833369,36.72222222222222,0.614323735793513,,,,,,89.0,563.0
176,jerome golmard,L,188.0,44.0,22.0,0.36295594751323096,0.21435099241931957,0.4139166444814839,0.6451488536715811,0.7776635138447802,0.6164840383158878,80.75,0.625756177727924,200.5,0.66,0.40700000000000003,0.43799999999999994,0.5,47.0,883.0
177,filip dewulf,R,190.0,42.0,22.0,0.3674349090130318,0.2338962065217042,0.43983912912484335,0.5687388747262696,0.7491645498832585,0.5621181338695977,55.095238095238095,0.62056350371102,227.7,0.603,0.45399999999999996,0.455,0.765,55.0,789.0
179,tim henman,R,185.0,77.0,51.0,0.3850382662820702,0.26798493290089914,0.4291323802616857,0.5124653813633953,0.7932622029230528,0.5286071901768162,56.675324675324674,0.6427281003622055,218.0,0.5820000000000001,0.397,0.586,0.615,7.0,2620.0
180,felix mantilla,R,180.0,66.0,41.0,0.4028065621415608,0.30097652429660576,0.4395161864279511,0.5949915105716541,0.7957480757403359,0.6082502812545324,78.51515151515152,0.6378648661576743,205.5,0.645,0.42700000000000005,0.5,0.483,20.0,1643.0
181,mikael tillstrom,R,185.0,38.0,18.0,0.4004736644349768,0.2778903297462322,0.4409368795978703,0.5540490844687237,0.7422586198444322,0.561075581074303,114.34210526315789,0.6117326348149165,201.4,0.596,0.418,0.5,0.5,85.0,588.0
182,nicolas lapentti,R,188.0,43.0,16.0,0.3916953065864615,0.2743039403901769,0.44707769620560317,0.4960477427156564,0.6647202150836947,0.6358352137150423,66.5813953488372,0.5806193273844154,168.7,0.5479999999999999,0.397,0.35700000000000004,0.385,90.0,545.0
183,mark knowles,R,190.0,1.0,0.0,0.4,0.33333333333333337,0.42857142857142855,0.25,0.25,0.6666666666666666,83.0,0.42105263157894735,,,,,,273.0,137.0
185,thomas johansson,R,180.0,71.0,42.0,0.38670183037673134,0.25694518501390695,0.43136146970032624,0.5303831145380441,0.8053716329383486,0.501412686886443,58.15492957746479,0.6472642371923206,200.3,0.5920000000000001,0.39899999999999997,0.5,0.512,17.0,1761.0
186,roberto carretero,R,178.0,2.0,1.0,0.40233384069000505,0.22499999999999998,0.625,0.55,0.675,0.6611111111111111,40.5,0.5895833333333333,,,,,,354.0,90.0
187,hicham arazi,L,175.0,49.0,23.0,0.3879025108138573,0.27420817003601383,0.42242256192309885,0.5405204991775103,0.7325374951136586,0.5392437592629239,57.6530612244898,0.6101683912485932,175.0,0.599,0.426,0.313,0.41200000000000003,36.0,999.0
188,alex radulescu,R,185.0,3.0,0.0,0.3711307946602065,0.25793650793650796,0.6243386243386243,0.31837606837606836,0.6407407407407407,0.6803872053872054,80.33333333333333,0.5552609427609427,,,,,,216.0,210.0
189,galo blanco,R,173.0,44.0,20.0,0.3787907179706293,0.24220872710177527,0.35630551675003547,0.5931445133149679,0.7173439528386054,0.5586118209540522,63.29545454545455,0.5932975565145452,181.6,0.588,0.342,0.35700000000000004,0.529,82.0,612.0
190,juan albert viloca puig,R,185.0,24.0,6.0,0.36571139116448653,0.19815266772987364,0.3653979588093365,0.5919343966218965,0.6442283007380513,0.600429005832235,68.16666666666667,0.5674589800585649,,,,,,151.0,314.0
191,dominik hrbaty,R,183.0,57.0,30.0,0.4014024126835432,0.27846803372614376,0.41841583768828344,0.527114377423975,0.7458949862200636,0.5329949071636557,66.59649122807018,0.6157116069672646,192.1,0.606,0.426,0.389,0.5,46.0,884.0
192,neville godwin,R,173.0,6.0,2.0,0.36848620892101686,0.20093795093795097,0.26157407407407407,0.5702380952380953,0.6659340659340659,0.5652212985597029,54.666666666666664,0.5641933033160212,,,,,,150.0,314.0
193,gustavo kuerten,R,190.0,62.0,38.0,0.3784041808592155,0.2458087141079143,0.44038350696320333,0.590144241958758,0.8114503802122395,0.5464968595140108,74.2741935483871,0.6420872544557091,220.3,0.6409999999999999,0.424,0.6,0.5379999999999999,23.0,1472.0
194,magnus norman,R,188.0,55.0,26.0,0.36359382804504,0.23816391288961822,0.3535595925168118,0.5569597603822205,0.722040078063424,0.5178047472317462,71.98181818181818,0.6043113789676627,211.7,0.602,0.37,0.625,0.52,52.0,818.0
