,name,hand,height,matchs,win,pourc_return_win_pnt,pourc_break_games,pourc_break_point_made,pourc_break_point_saved,pourc_serv_games_win,pourc_serv_in,mean_ranking_oppo,pourc_serv_win_pnt,rang,Under Pressure Rating, % Break Point Saved, % Break Points Converted Pressure, % Deciding Sets Won, % Tie Breaks Won
204,andrei pavel,R,183.0,63.0,37.0,0.4095939809289725,0.28928158916484903,0.45089495135013336,0.5578256166491463,0.7889640588851851,0.6421307231958152,62.61904761904762,0.6378323953024613,26.0,198.1,0.629,0.428,0.47600000000000003,0.44799999999999995
210,davide sanguinetti,R,188.0,42.0,21.0,0.36993940569889855,0.2309034829938191,0.412945916517345,0.5399100238385953,0.7403277460331861,0.5722722988552158,71.95238095238095,0.6064150417682277,46.0,212.3,0.5870000000000001,0.401,0.611,0.524
212,fernando vicente,R,180.0,51.0,23.0,0.37845226515893055,0.2510828508109961,0.4073772360537066,0.5826479604593794,0.7392225034409214,0.5736859649814348,64.70588235294117,0.602203998888093,58.0,187.5,0.596,0.41100000000000003,0.5,0.368
214,arnaud clement,R,173.0,54.0,30.0,0.4074325734190508,0.2902760255594868,0.4775026156970601,0.5606263335430003,0.7651749613226597,0.57667303338182,61.44444444444444,0.6212295121273291,38.0,185.3,0.594,0.42200000000000004,0.308,0.529
215,nicolas escude,R,185.0,47.0,30.0,0.3921407815822368,0.2633246551112634,0.4500463441000956,0.5706619690975138,0.7923446946600893,0.5867204440557734,72.85106382978724,0.6562554268318703,34.0,247.6,0.603,0.415,0.563,0.895
219,jan michael gambill,R,190.0,58.0,32.0,0.37383676415314804,0.23678135498126235,0.43290311221345706,0.5811566813848761,0.8142008571775307,0.5640300517652718,66.03448275862068,0.6571438023115164,42.0,,,,,
222,alex calatrava,R,190.0,9.0,3.0,0.3503953412596476,0.2381316616823863,0.4794773128106462,0.5922273632799948,0.6369917119917121,0.614462471741263,45.0,0.5526656124691536,98.0,,,,,
223,jacobo diaz,R,173.0,6.0,1.0,0.2827644241912077,0.10373836689626165,0.30833333333333335,0.5321095571095571,0.6894556466924887,0.6257823982862682,41.0,0.5533619974796445,88.0,,,,,
224,ramon delgado,R,185.0,23.0,5.0,0.35558149821108037,0.17648509702857532,0.2915435139573071,0.4946883430579084,0.651513583035322,0.6011106667118987,73.30434782608695,0.5595411398683737,91.0,,,,,
226,guillermo canas,R,185.0,63.0,39.0,0.4082613433928113,0.2926127216245895,0.41193894767911327,0.5426252319109462,0.7976178719549615,0.5953616956300677,59.79365079365079,0.6456215750092704,15.0,203.4,0.59,0.402,0.522,0.52
227,marat safin,R,193.0,72.0,50.0,0.39584650192625104,0.25848120413393894,0.41515311295655477,0.5837591160201454,0.8462642145258831,0.5807077280785325,64.79166666666667,0.6632442214655403,3.0,221.5,0.645,0.395,0.625,0.55
